연도,상권_코드,상권_코드_명_매출,총매출,평균유동인구
2024,3110117,성동구보건소,3005610688,455370.14285714284
2024,3110118,왕십리역 9번,25588763667,1458567.3333333333
2024,3110120,서울숲카페거리,1654066021,434216.3
2024,3110121,한양대역 4번,1683718253,202994.5
2024,3110122,마장역 2번,26358963359,280529.43333333335
2024,3110123,마장역 3번,8870144592,827931.76
2024,3110124,뚝섬역교차로,8783219201,231428.66666666666
2024,3110125,사근동살곶이상점가,9481882568,978666.0697674418
2024,3110126,서울숲역 1번,1122508689,290631.5
2024,3110127,성수1가1동주민센터,4494494337,161941.96296296295
2024,3110128,성원중학교,58306708614,1218721.9285714286
2024,3110129,성원어린이공원,7213147115,171415.86956521738
2024,3110130,답십리역 6번,970263242,566102.0
2024,3110131,성수동카페거리,195116830293,926243.8255813953
2024,3110132,성수2가3동주민센터,2523571326,564154.6153846154
2024,3110133,서울교통공사,2872916663,398568.9
2024,3110134,성수119안전센터,21103716945,1593827.7948717948
2024,3110135,성동세무서,5351892795,241620.36363636365
2024,3110136,경수초등학교,47688314938,1006897.3666666667
2024,3110137,성수초등학교,108671409118,1570031.3636363635
2024,3110138,송정체육공원,8284312513,1029983.25
2024,3110139,자양4동주민센터,16999541662,2050955.1204819276
2024,3110140,건대입구역 6번,34191088867,2400169.7088607596
2024,3110141,건대입구역 1번,14300581900,1798936.1224489796
2024,3110142,화양사거리,23726604349,1907031.1643835616
2024,3110143,뚝섬유원지역 1번,5967844678,182854.5
2024,3110144,어린이대공원역 4번,3356089197,380165.52173913043
2024,3110145,장안초등학교,1398676204,260931.0
2024,3110146,신자초등학교,10980226502,1428999.375
2024,3110147,능동우편취급국,37469794604,963547.3766233766
2024,3110148,어린이대공원역 3번,7100055035,718755.7666666667
2024,3110149,세종대학교,1556015309,190271.5
2024,3110150,중곡1동 마을마당,10355178518,1802428.25
2024,3110151,자양한강도서관,21000856259,1371845.1369863013
2024,3110152,중곡어린이공원,5182430528,233605.63333333333
2024,3110153,중곡1동주민센터,599811870,292537.6666666667
2024,3110154,광진정말공원,25554454574,1708004.7083333333
2024,3110155,광진구청,5782638963,1021027.0
2024,3110156,군자역 5번,12331731716,920967.9591836735
2024,3110157,자양동우체국,9024389591,1421195.2972972973
2024,3110158,중곡3동주민센터,25825560231,3048872.111111111
2024,3110159,구의역 4번,37905601702,3547601.2535211267
2024,3110160,광진경찰서,766033399,484447.6923076923
2024,3110161,중곡역 3번,16726261399,618567.1139240506
2024,3110162,군자역 4번,5046152360,374153.0512820513
2024,3110163,성자초등학교,13503255471,554231.4918032787
2024,3110164,아차산역 5번,12885837299,472940.0
2024,3110165,국립정신건강센터,17113638853,751196.7692307692
2024,3110166,구의1동주민센터,31608826061,1780953.4324324324
2024,3110167,용마초등학교,25875339312,1599174.9666666666
2024,3110168,대원고등학교,3894038028,433654.52
2024,3110169,성동초등학교,5017722905,602282.6129032258
2024,3110170,동대부여고,7355081291,2239385.925373134
2024,3110171,중곡4동주민센터,347789465,357256.5
2024,3110172,광진초등학교,8529435794,974899.4166666666
2024,3110173,구남초등학교,4148198189,320664.0
2024,3110174,아차산역 1번,15528944063,736025.947368421
2024,3110175,푸른동산공원,3669645781,1015871.8064516129
2024,3110176,해오름공원,7807368619,1296075.5757575757
2024,3110177,동의초등학교,851997033,115995.9
2024,3110178,장로회신학대학교,1974364990,351931.652173913
2024,3110179,광나루역 1번,17800150417,394662.25
2024,3110180,광진정보도서관,35643931123,248884.6724137931
2024,3110181,신설동역 9번,2898516688,1275341.48
2024,3110182,용두희망어린이공원,2438086061,898513.5
2024,3110183,한국의류시험연구원,3092204087,685102.7894736842
2024,3110184,용두사거리,1748945167,346885.75
2024,3110185,용두초등학교,865234663,670162.7
2024,3110186,종암초등학교,6236175920,146648.75
2024,3110187,제기동역 6번,41455187668,2621943.16
2024,3110188,용두동신동아아파트,12319645664,855551.4310344828
2024,3110189,제기동역 1번,13887916716,937441.0
2024,3110190,고대앞사거리,6612010445,1019242.5769230769
2024,3110191,고려대역 6번,11841563313,1591079.5609756098
2024,3110192,동의보감타워,8937133484,257301.75510204083
2024,3110193,고려대역 4번,2463438944,678540.8125
2024,3110194,홍파초등학교,23783609893,345485.52
2024,3110195,동대문구청,25528115890,1657378.357142857
2024,3110197,세종대왕기념관교차로,866818205,265883.8
2024,3110198,동대문중앙새마을금고본점,569520663,287302.7
2024,3110199,홍릉시장,11386467685,337752.5
2024,3110200,동대문경찰서,975018301,367641.25
2024,3110201,전농119안전센터,989409379,143416.83333333334
2024,3110202,전농1동주민센터(전농시장),639741474,427482.25
2024,3110203,떡전교사거리,3446654204,938728.695652174
2024,3110204,간데메공원,36125911426,1312705.1940298507
2024,3110205,경희대삼거리,19612476531,1896283.1384615384
2024,3110206,텃골근린공원,7282495184,1196922.891304348
2024,3110207,시립대앞사거리,3372651021,727953.5
2024,3110208,시조사삼거리,253418793,357545.4
2024,3110209,답십리 장령당공원,114463496,331658.75
2024,3110210,서울시립대,13629684200,2557708.4523809524
2024,3110211,전곡마을마당공원,12011421354,2332515.216666667
2024,3110212,답십리초등학교,13358778228,919897.4776119404
2024,3110213,청량초등학교,409529840,435205.5
2024,3110214,경희대후문,9402315187,1491796.9032258065
2024,3110215,회기역 1번,2225731834,794191.7777777778
2024,3110216,전농중학교,13303568844,347968.39285714284
2024,3110217,자동차부품상가,948866382,345891.75
2024,3110218,답십리사거리,26942060267,1161932.4444444445
2024,3110219,삼육보건대학교,38106454028,1469300.4819277108
2024,3110220,외대앞역 1번,44970406979,1422355.969387755
2024,3110221,의릉,2654008685,346634.25
2024,3110222,회기역 2번,132000000,50967.25
2024,3110223,군자초등학교,905148855,407318.5
2024,3110224,외대앞역 2번,11026139283,586027.0714285715
2024,3110225,촬영소사거리,7580737967,259395.8775510204
2024,3110226,장안1동주민센터,148066028418,2936343.688405797
2024,3110227,답십리공원,11650216791,494230.55319148937
2024,3110228,장안근린공원,37552403380,1640264.8
2024,3110229,장평중학교,82952576500,1780332.657142857
2024,3110230,장안현대홈타운1차아파트,19513475685,1177139.5777777778
2024,3110232,동대부고,80331705512,764800.95
2024,3110233,중랑역 1번,14288312216,1230884.75
2024,3110234,중랑역 4번,6950890340,301115.75
2024,3110236,신묵초등학교,9211465962,1725343.380952381
2024,3110237,메가박스 상봉,36002495478,842484.0
2024,3110238,배꽃어린이공원,2844923,55866.0
2024,3110239,중랑역 2번,2772164079,192288.55555555556
2024,3110240,태릉시장 특화거리,19099842688,673363.8867924528
2024,3110241,먹골역 5번,45391762150,1028470.2210526316
2024,3110242,면목5동주민센터,4323962793,505016.28571428574
2024,3110243,중랑노인종합복지관,23321745859,570961.3289473684
2024,3110244,중화역 4번,35821437815,995398.5
2024,3110245,KB국민은행 중화동지점,5525173851,560754.380952381
2024,3110246,월드순복음교회,9321788808,1363963.3448275863
2024,3110247,먹골역 1번,25889037553,2110707.9111111113
2024,3110248,먹골파출소,7687644715,471898.6
2024,3110249,중화역 1번,47483908970,1622356.3894736841
2024,3110250,화랑대역 7번,3239024620,400752.4285714286
2024,3110251,장안중학교,5796016555,705734.3709677419
2024,3110252,장안제일시장,29275889290,1096073.8181818181
2024,3110253,중곡초등학교,11939959281,735812.6603773584
2024,3110254,오거리공원,31593609782,2950170.65
2024,3110255,상봉역 4번,32946706012,2262339.6565656564
2024,3110256,면목2동체육관,29766016087,1431731.4266666668
2024,3110257,상봉역 7번,1698482486,1462017.380952381
2024,3110258,면동초등학교,8462945077,755571.6279069767
2024,3110259,사가정역 1번,29344316631,1235982.7285714287
2024,3110260,면목역 3번,15091784744,1406897.7692307692
2024,3110261,사가정역 4번,8159687936,1482497.4492753623
2024,3110262,상봉역 3번,42724487952,1780781.59375
2024,3110263,면목역 1번,7718013779,1337235.0
2024,3110264,면목역 2번,36236911059,2909510.4623655914
2024,3110265,망우역 1번,14182564836,438572.25
2024,3110266,면목동우체국,7805691568,1480952.140625
2024,3110267,망우역 2번,14524263960,1281168.5
2024,3110268,망우3동주민센터,5173498625,570113.25
2024,3110269,용마문화복지센터,6638807172,620672.0
2024,3110270,혜원여고,5306737453,209268.75
2024,3110271,신내역 1번,2135441820,59040.5
2024,3110272,신내1동주민센터,58956199736,1285516.5289256198
2024,3110273,장스여성병원,19418301316,772477.6304347826
2024,3110274,서일대학교,27393653465,1409292.7064220184
2024,3110275,하나은행 망우동지점,12263810664,507485.26923076925
2024,3110276,신내IC북측,480025550,49808.5
2024,3110277,러스크서울병원,14503780384,868429.6666666666
2024,3110278,망우본동주민센터,27176672295,745250.9569892474
2024,3110280,북정마을,219775842,278542.75
2024,3110281,길상사,259923609,69158.5
2024,3110282,국민대학교앞,2767972567,23919.833333333332
2024,3110283,성북초등학교앞,6795860903,165064.75
2024,3110284,정릉북한산국립공원입구,741893802,90712.33333333333
2024,3110285,홍대부중,5594435992,141995.76923076922
2024,3110286,한성대입구역 5번,14747304898,802654.4523809524
2024,3110287,정릉3동주민센터,2839488470,212547.0
2024,3110288,동구여중,9872365863,213597.88888888888
2024,3110289,북한산보국문역 2번,5201015973,1312986.5
2024,3110290,북한산보국문역 1번,1081712344,214221.85714285713
2024,3110291,한성대입구역 3번,19795729388,1958829.0909090908
2024,3110292,정릉역 2번,4163900030,303165.6
2024,3110293,삼선중학교,18616176961,1528694.9310344828
2024,3110294,서경대학교,16774466877,1541594.0847457626
2024,3110295,정릉우체국,17755542846,964498.9253731343
2024,3110296,성신여대입구역 4번,13993476937,962290.25
2024,3110297,경동고등학교,11839907029,2381929.8529411764
2024,3110298,솔숲어린이공원,147910183,267353.5714285714
2024,3110299,정릉역 1번,35552241164,1814399.0303030303
2024,3110300,삼선동주민센터,15964374909,2922313.125
2024,3110301,성신여대입구역 7번,7349342777,1565151.0344827587
2024,3110302,보문역 8번,8666026864,269527.80597014923
2024,3110303,성신여대입구역 1번,7228582512,1226087.5531914893
2024,3110304,보문역 4번,11588722624,1017199.5897435897
2024,3110305,보문역 5번,11858648091,2130840.3225806453
2024,3110306,미아초등학교,2753537817,185765.75
2024,3110307,길음역 7번,2640526920,550680.4736842106
2024,3110308,길음역 8번,17913759809,1027626.7115384615
2024,3110309,대광초등학교,970908742,221897.0
2024,3110312,안암역 2번,28407513223,572006.75
2024,3110313,안암역 3번,47799784155,1762720.3670886075
2024,3110314,종암경찰서,45523460745,730140.2429906542
2024,3110315,종암아이파크2차,14958254585,1483780.3648648649
2024,3110316,숭곡초등학교,37756829977,2854321.2
2024,3110317,종암중학교,12691488381,722857.4666666667
2024,3110318,KT월곡지사,14023913556,1452354.5
2024,3110319,종암동주민센터,27207734101,1265587.6559139786
2024,3110320,KB국민은행 종암동지점,4843543083,183097.25
2024,3110322,장위1동주민센터,2565285135,756473.75
2024,3110323,상월곡역 1번,8129487335,1387190.593220339
2024,3110325,장곡초등학교,11540357751,1124480.134328358
2024,3110326,장위동성당,14679288,474893.0
2024,3110327,상월곡역 2번,20030022638,1217519.0612244897
2024,3110328,상월곡역 3번,4659016066,1028510.5416666666
2024,3110329,우리은행체육관,5134047005,596116.25
2024,3110330,돌곶이역 1번,7112557565,826205.76
2024,3110331,돌곶이역 8번,19466447299,1300995.0
2024,3110332,돌곶이역 3번,2817806590,243780.5
2024,3110333,돌곶이역 5번,14330878707,679344.4025974026
2024,3110334,석관중앙교회,9248477457,1888235.5
2024,3110335,석계역 7번,55827095349,1505345.9540229884
2024,3110336,석관고등학교,1252913805,361502.2727272727
2024,3110337,아카데미하우스,9579603928,467847.75
2024,3110338,인수초등학교,894168,174252.0
2024,3110339,국립4.19민주묘지,4306296678,29592.25
2024,3110340,인수중학교,819758621,321564.75
2024,3110341,북한산우이역 2번,17471128532,238635.75
2024,3110342,국립재활원,1434469584,951442.3888888889
2024,3110343,무너미어린이공원,2450392756,719759.25
2024,3110344,화계중학교,381131942,353673.75
2024,3110345,솔밭공원역 2번,18852307812,500373.62264150946
2024,3110346,4.19민주묘지역 2번,12076917020,1004545.8387096775
2024,3110348,강북문화예술회관,7688010586,2149605.25
2024,3110349,화계역 2번,605508231,495375.0
2024,3110350,가오리역 2번,5936722283,607988.25
2024,3110351,수유북부시장옆,3643394710,529899.0
2024,3110352,수유1동주민센터,15869819965,1491612.8529411764
2024,3110353,수유동우체국,7108940568,768068.15
2024,3110354,삼각산119안전센터,4050024239,77206.52631578948
2024,3110355,삼양사거리역 2번,15732276901,1402336.2608695652
2024,3110356,덕수교,3564355207,881355.75
2024,3110357,가오리역 1번,5331517529,1082623.4090909092
2024,3110358,인수동 우편취급국,2413353287,935486.75
2024,3110359,수유시장옆,7550200229,1348207.0487804879
2024,3110360,수유초등학교,12585478319,1194970.7209302327
2024,3110361,삼양사거리역 1번,3475019914,1076325.551724138
2024,3110362,우이천 계성교,9209278423,822465.0
2024,3110363,송천동주민센터,256869792,272741.5
2024,3110364,미아역 8번,13554209760,1623480.2222222222
2024,3110365,미아역 5번,7813182271,1872667.0
2024,3110366,광산사거리,6713483557,529344.5
2024,3110367,강북구청,14417586903,1220687.3902439023
2024,3110368,송천초등학교,3035001110,2676877.2
2024,3110369,성신여대운정그린캠퍼스,27165381680,1272564.5
2024,3110370,도봉세무서,14470359081,1455632.25
2024,3110371,삼양입구사거리,15472825486,612483.5238095238
